outing,frame,iso,shutter_s,focal_mm,aperture,sharpness,brightness,published,master
100D3100,DSC_0008,3200,0.002,75.0,4.5,107.0,36.5,0,0
100D3100,DSC_0009,2800,0.002,75.0,4.5,136.8,51.9,0,0
100D3100,DSC_0010,3200,0.002,75.0,4.5,154.3,92.9,0,0
100D3100,DSC_0011,2000,0.002,240.0,5.6,62.3,117.3,0,0
100D3100,DSC_0012,1400,0.002,240.0,5.6,57.9,79.1,0,0
100D3100,DSC_0013,1100,0.002,122.0,4.8,77.6,125.9,0,0
100D3100,DSC_0014,2500,0.002,75.0,4.5,150.3,109.8,0,0
100D3100,DSC_0015,3200,0.002,75.0,4.5,311.9,143.7,0,0
100D3100,DSC_0016,1600,0.002,240.0,5.6,94.7,78.6,0,0
100D3100,DSC_0017,3200,0.06666666666666667,240.0,32.0,50.4,76.8,0,0
100D3100,DSC_0018,3200,0.04,75.0,32.0,409.0,102.4,0,0
100D3100,DSC_0019,3200,0.05,75.0,32.0,315.5,109.1,0,0
100D3100,DSC_0020,2500,0.00125,75.0,4.5,47.5,98.1,0,0
100D3100,DSC_0021,2200,0.00125,75.0,4.5,44.0,87.8,0,0
100D3100,DSC_0022,3200,0.001,75.0,4.5,41.1,96.3,0,0
100D3100,DSC_0023,2200,0.00125,75.0,4.5,41.3,90.3,0,0
100D3100,DSC_0024,1800,0.0015625,75.0,4.5,44.7,89.0,0,0
100D3100,DSC_0025,1400,0.002,75.0,4.5,45.8,88.7,0,0
100D3100,DSC_0026,1250,0.0025,75.0,4.5,43.3,96.8,0,0
100D3100,DSC_0027,1000,0.003125,75.0,4.5,39.0,99.2,0,0
100D3100,DSC_0028,3200,0.03333333333333333,240.0,40.0,56.5,123.1,0,0
100D3100,DSC_0029,3200,0.04,240.0,40.0,144.4,127.3,0,0
100D3100,DSC_0030,2800,0.03333333333333333,180.0,36.0,79.1,121.4,0,0
100D3100,DSC_0031,3200,0.03333333333333333,170.0,36.0,102.6,131.7,0,0
100D3100,DSC_0032,2200,0.03333333333333333,98.0,36.0,248.5,115.2,0,0
100D3100,DSC_0033,2000,0.03333333333333333,98.0,36.0,249.6,113.0,0,0
100D3100,DSC_0034,3200,0.04,85.0,32.0,158.1,131.5,0,0
100D3100,DSC_0035,280,0.01,75.0,4.5,87.6,108.1,0,0
100D3100,DSC_0036,400,0.01,75.0,4.5,243.0,66.6,0,0
100D3100,DSC_0037,400,0.01,75.0,4.5,225.2,37.1,0,0
100D3100,DSC_0038,220,0.01,75.0,4.5,303.5,90.3,0,0
100D3100,DSC_0039,250,0.01,240.0,5.6,99.1,80.2,0,0
100D3100,DSC_0040,250,0.01,98.0,4.8,767.4,105.8,0,0
100D3100,DSC_0041,200,0.01,200.0,5.3,127.7,72.3,0,0
100D3100,DSC_0042,220,0.01,75.0,4.5,506.8,103.3,0,0
100D3100,DSC_0043,125,0.01,75.0,4.5,277.0,90.7,0,0
100D3100,DSC_0044,160,0.01,75.0,4.5,39.6,71.8,0,0
100D3100,DSC_0045,250,0.01,75.0,4.5,356.3,104.1,0,0
100D3100,DSC_0046,125,0.01,75.0,4.5,48.4,98.3,0,0
100D3100,DSC_0047,220,0.01,75.0,4.5,524.9,115.6,0,0
100D3100,DSC_0048,180,0.01,75.0,4.5,618.7,95.4,0,0
100D3100,DSC_0049,220,0.01,75.0,4.5,544.9,102.3,0,0
