project_id,document_id,case_id,difficulty,predicted_class,reference_class,prediction_correct,component_name,raw_confidence,calibrated_probability,evidence_relevance,processing_latency,processing_cost
PF-P01,PF-D0001,PF-C00001,Simple,Clear,Clear,True,Document extraction,0.6560232703005852,0.6921563350049087,0.44222941829478724,196.68256629587057,0.003825775674374314
PF-P02,PF-D0002,PF-C00002,Simple,Review,Insufficient,False,Document extraction,0.8788793382647098,0.7785123851623089,0.7543714273036467,173.96775645281852,0.00491984314390771
PF-P03,PF-D0003,PF-C00003,Moderate,Insufficient,Insufficient,True,Document extraction,0.7335151823306939,0.6871204130370082,0.5757808623766748,206.88897612681615,0.0044638030495407505
PF-P04,PF-D0004,PF-C00004,Complex,Clear,Clear,True,Document extraction,0.7337671394123555,0.57845119130052,0.4603828442944836,268.1594864227027,0.004029665646633705
PF-P05,PF-D0005,PF-C00005,Moderate,Clear,Clear,True,Document extraction,0.4810492407803417,0.6577763846101925,0.4471761446911178,183.6918426669189,0.004233803555310103
PF-P06,PF-D0006,PF-C00006,Moderate,Review,Review,True,Document extraction,0.829150383569269,0.5916510618126926,0.5458060476607244,122.23254692483904,0.003901144237783168
PF-P01,PF-D0007,PF-C00007,Moderate,Review,Clear,False,Document extraction,0.5848115016794261,0.6900347080211681,0.39179550684319076,182.17818737079745,0.003974458624639913
PF-P02,PF-D0008,PF-C00008,Simple,Clear,Clear,True,Document extraction,0.697519052908248,0.756592980889328,0.4324011426750354,170.78406389843607,0.004365703087653333
PF-P03,PF-D0009,PF-C00009,Simple,Review,Insufficient,False,Document extraction,0.4917546329936202,0.5836846202451691,0.28873905710095893,169.5901758273913,0.004314863141405705
PF-P04,PF-D0010,PF-C00010,Simple,Review,Review,True,Document extraction,0.9099469752109451,0.8037672742597893,0.6128246816474414,164.2274115181911,0.004102712764144003
PF-P05,PF-D0011,PF-C00011,Moderate,Insufficient,Escalate,False,Document extraction,0.6623229945875325,0.7068608371147196,0.7411831947345874,170.63746751706765,0.0034996180110997083
PF-P06,PF-D0012,PF-C00012,Simple,Insufficient,Review,False,Document extraction,0.8205044269262636,0.7458631819129978,0.8593455514709761,164.35429277798022,0.003292298671452364
PF-P01,PF-D0013,PF-C00013,Complex,Insufficient,Insufficient,True,Document extraction,0.6579546666319779,0.6017403364712615,0.576440684587232,248.7627604725297,0.0042320274816050295
PF-P02,PF-D0014,PF-C00014,Moderate,Clear,Clear,True,Document extraction,0.5620818419270732,0.6539876453093096,0.37575911448330107,227.46613178306154,0.003731641974562815
PF-P03,PF-D0015,PF-C00015,Moderate,Insufficient,Review,False,Document extraction,0.40543870552821953,0.5328767220614953,0.2549557056102865,205.95096955770134,0.004751518286279314
PF-P04,PF-D0016,PF-C00016,Moderate,Review,Review,True,Document extraction,0.3591511498734608,0.5607805038395361,0.6357383217915619,227.85647004621245,0.004786201708149539
PF-P05,PF-D0017,PF-C00017,Simple,Clear,Clear,True,Document extraction,0.6347284023891995,0.6393639158184135,0.6041540276366162,230.23341969320433,0.004379086784521624
PF-P06,PF-D0018,PF-C00018,Moderate,Clear,Clear,True,Document extraction,0.6992164910910625,0.6384727649044325,0.435481070641059,263.1151543570887,0.0037695921069529795
PF-P01,PF-D0019,PF-C00019,Moderate,Review,Review,True,Document extraction,0.6774976009076282,0.5867123620480943,0.5611529365602814,235.53394803476445,0.004608079877932851
PF-P02,PF-D0020,PF-C00020,Simple,Clear,Clear,True,Document extraction,0.6724642367383905,0.7472245755555779,0.43482858670055424,197.85624622818608,0.0026941274027270992
PF-P03,PF-D0021,PF-C00021,Moderate,Clear,Clear,True,Document extraction,0.8798470342396616,0.7088332140421398,0.3979232891166953,179.9673647262604,0.003146796368703122
PF-P04,PF-D0022,PF-C00022,Moderate,Escalate,Review,False,Document extraction,0.8047041353059617,0.6933440000757106,0.6089891992881229,258.053840044883,0.0035945040274409906
PF-P05,PF-D0023,PF-C00023,Complex,Review,Review,True,Document extraction,0.3149664616853421,0.5878631834482606,0.4781675559095904,194.1385309782175,0.0047843571082963905
PF-P06,PF-D0024,PF-C00024,Moderate,Clear,Clear,True,Document extraction,0.4969552018696671,0.578935196028502,0.5247334937227828,190.141580185334,0.003188477248552078
