case_id,split,difficulty,source_type,cohort,document_extraction_score,classification_score,evidence_retrieval_score,explanation_generation_score,document_extraction_probability,classification_probability,evidence_retrieval_probability,explanation_generation_probability,end_to_end_correct
1,evaluation,Simple,scan,pond_b,0.780922,0.964666,0.471977,0.919181,0.672131,0.88172,0.581673,0.987179,1
2,evaluation,Moderate,scan,pond_a,0.907738,0.968347,0.574692,0.814668,0.843284,0.88172,0.753623,0.772487,0
3,evaluation,Complex,scan,pond_a,0.487446,0.526031,0.625376,0.605104,0.235294,0.485714,0.778571,0.307692,0
4,development,Moderate,scan,pond_b,0.729386,0.705217,0.58513,0.88974,0.552632,0.567568,0.753623,0.911111,0
5,development,Simple,scan,pond_b,0.898382,0.988808,0.829057,0.900488,0.843284,0.957792,0.891117,0.937931,1
6,evaluation,Moderate,native_pdf,pond_b,0.896772,0.983635,0.852244,0.885448,0.843284,0.957792,0.951456,0.902174,0
7,development,Simple,native_pdf,pond_a,0.944027,0.98556,0.818971,0.825413,0.945946,0.957792,0.891117,0.791444,0
8,evaluation,Complex,native_pdf,pond_a,0.785092,0.74928,0.505681,0.800925,0.672131,0.727723,0.581673,0.772487,0
9,evaluation,Simple,native_pdf,pond_a,0.947636,0.865982,0.595408,0.74022,0.945946,0.809353,0.753623,0.591837,0
10,development,Moderate,native_pdf,pond_a,0.913066,0.993665,0.831665,0.749509,0.857143,0.989848,0.891117,0.687861,1
11,development,Simple,native_pdf,pond_b,0.904513,0.981576,0.797575,0.869075,0.843284,0.957792,0.891117,0.897233,1
12,development,Complex,native_pdf,pond_b,0.672498,0.194545,0.369417,0.797533,0.552632,0.415385,0.435484,0.772487,0
13,development,Simple,native_pdf,pond_b,0.959018,0.986372,0.954959,0.896309,0.966942,0.957792,1.0,0.937931,1
14,development,Simple,native_pdf,pond_b,0.931288,0.991632,0.807893,0.900144,0.887701,0.957792,0.891117,0.937931,1
15,development,Moderate,native_pdf,pond_a,0.871451,0.963774,0.519576,0.835765,0.768421,0.88172,0.581673,0.80137,0
16,development,Simple,scan,pond_a,0.859292,0.913945,0.631367,0.781149,0.768421,0.809353,0.778571,0.727273,0
17,evaluation,Simple,native_pdf,pond_b,0.885408,0.545925,0.760714,0.875724,0.789474,0.485714,0.8725,0.897233,0
18,evaluation,Moderate,native_pdf,pond_b,0.612291,0.935721,0.552152,0.867684,0.421053,0.867188,0.681818,0.897233,0
19,evaluation,Simple,native_pdf,pond_b,0.949406,0.989895,0.852039,0.901596,0.945946,0.957792,0.951456,0.937931,1
20,evaluation,Simple,scan,pond_a,0.88764,0.924075,0.674983,0.761779,0.789474,0.862069,0.863158,0.687861,1
21,development,Moderate,native_pdf,pond_a,0.963678,0.984164,0.816325,0.744072,0.966942,0.957792,0.891117,0.687861,1
22,development,Simple,native_pdf,pond_b,0.911733,0.98797,0.790312,0.860059,0.857143,0.957792,0.891117,0.894737,0
23,evaluation,Simple,scan,pond_a,0.784765,0.593897,0.706985,0.874589,0.672131,0.485714,0.8725,0.897233,0
24,development,Simple,native_pdf,pond_a,0.977089,0.996853,0.872799,0.656051,0.977778,0.989848,0.979798,0.527397,1
25,development,Moderate,scan,pond_b,0.738096,0.761681,0.58319,0.810784,0.591398,0.727723,0.753623,0.772487,0
26,development,Simple,native_pdf,pond_b,0.973045,0.996979,0.96091,0.881376,0.977778,0.989848,1.0,0.902174,1
27,development,Complex,native_pdf,pond_b,0.52843,0.138366,0.263844,0.820027,0.338028,0.16,0.192308,0.791444,0
28,evaluation,Simple,scan,pond_b,0.861033,0.972182,0.921779,0.856796,0.768421,0.88172,1.0,0.894737,1
29,evaluation,Moderate,native_pdf,pond_a,0.879401,0.932665,0.87047,0.794049,0.777778,0.865854,0.979798,0.772487,1
30,development,Simple,scan,pond_a,0.847886,0.996586,0.799078,0.805482,0.744681,0.989848,0.891117,0.772487,1
31,development,Simple,native_pdf,pond_b,0.943261,0.860501,0.728917,0.864708,0.945946,0.809353,0.8725,0.897233,0
32,development,Complex,scan,pond_b,0.764509,0.95651,0.478463,0.846811,0.591398,0.88172,0.581673,0.868132,0
